idx,l_deg,b_deg,theta_rad,phi_rad,cand_pix,unmasked_fraction
63,333.984375,37.168900,0.922076648454,5.829126993965,9837,0.996231
64,259.137931,-68.679192,2.769474354549,4.522810113358,47495,0.995648
65,195.000000,-70.165027,2.795407061886,3.403392041389,47698,0.996748
66,248.203125,12.024699,1.360925734532,4.331961744989,19504,0.955384
67,60.468750,23.969482,1.152449940351,1.055378782065,14507,0.989563
68,127.968750,-27.953187,2.058671474335,2.233476027161,36059,0.995728
69,325.546875,-25.944480,2.023612921540,5.681864838328,35431,0.958614
70,263.671875,-23.317957,1.977771452424,4.601942363657,34363,0.973361
71,278.437500,29.313199,1.059184490578,4.859651136022,12614,0.995391
72,291.796875,-30.000000,2.094395102393,5.092816215780,36943,0.951740
73,303.046875,22.024313,1.186399552299,5.289165756630,15447,0.950846
74,229.921875,-16.957763,1.866765130154,4.012893741109,31779,0.950630
75,271.125000,60.434439,0.516016387355,4.732023934470,3240,0.956110
76,210.937500,27.953187,1.082921179255,3.681553890926,13078,0.987331
77,208.125000,60.434439,0.516016387355,3.632466505713,3212,0.994928
78,308.333333,70.165027,0.346185591703,5.381431860316,1496,0.955616
79,80.859375,-15.713861,1.845054940284,1.411262324855,31161,0.955981
